AID	CLUSTER2	GSWGT3	GSWGT3_2
90619168	304	6939.9285	6336.3137
90619260	304	5416.8484	5191.0852
90619265	304	 	10016.0609
90619360	304	 	10328.1417
90619464	304	9191.2404	8434.9526
90619861	304	6939.9285	6336.3137
90619961	304	7301.0257	6793.6853
90636252	372	3639.8765	3323.2906
90646128	371	 	674.6806
90676053	372	2975.397	2697.3905
90676321	371	 	4510.4674
90676422	371	 	6619.7835
90676458	372	3696.8768	3430.416
90676627	371	 	4553.6663
90676725	371	4993.1769	4529.1115
90676829	371	694.8292	643.1602
90676953	372	3639.8765	3323.2906
90678178	360	6075.2224	5546.8172
90678378	360	 	6276.5212
90678671	360	1422.5198	1290.3109
90710085	243	4397.5773	3926.9586
90710194	248	5626.9353	5260.7521
90710218	245	6116.8765	5784.3774
90710297	248	6107.0133	5604.5066
90710316	245	9016.9052	8274.9623
90710319	245	5565.2108	5151.1138
90710386	243	8667.1442	8305.9153
90710874	250	9415.4304	8831.7508
90710930	247	3560.2396	3285.9179
90710935	247	8478.9231	7781.2473
90711360	234	9644.7451	8851.1413
90712140	219	4273.5928	3923.7104
90712211	215	4520.8686	4226.6647
90712216	215	6976.1579	6457.0749
90712290	218	4398.3331	4159.25
90712914	215	4717.0946	4477.0373
90712942	219	1458.5468	1346.1637
90712997	218	4398.3331	4159.25
90713391	288	5274.6923	4931.432
90713395	288	5274.6923	4931.432
90713702	286	 	3924.3564
90713909	286	3451.8706	3185.8989
90713930	287	5763.6782	5450.3781
90713998	288	4863.1147	4501.2594
90714016	265	18464.4014	17564.0504
90714018	265	10907.3682	10066.9395
90714022	261	6360.4506	5946.5325
90714025	261	6618.9448	6126.4414
90714212	265	12655.601	11619.477
90714232	267	6372.0197	5897.8895
90714233	267	5364.4237	4790.3353
90714236	267	7126.067	6778.5896
90714237	267	3665.9827	3383.5134
90714238	267	5364.4237	4790.3353
90714245	269	5413.5676	5010.7541
90714328	261	 	8326.5453
90714390	268	4905.4459	4380.4763
90714918	265	18958.6177	17547.942
90714942	269	6865.1266	6300.2397
90715191	228	6058.7763	5560.2388
90715198	228	809.0152	742.7805
90715266	224	8527.4631	8063.9301
90715267	224	 	9413.1679
90715294	228	2987.8087	2668.0603
90715353	222	3693.3076	3486.4765
90715983	223	6637.2828	6091.1437
90715987	223	2797.0385	2588.9161
90715988	223	4628.9957	4327.7553
90715993	228	3993.41	3776.3376
90716050	272	4695.0397	4439.8283
90716064	274	3880.3271	3591.5992
90716091	278	 	1338.3749
90716258	272	5597.5526	5136.9662
90716290	278	3990.9902	3707.8106
90716352	272	 	3547.6332
90716390	278	4589.4872	4365.6971
90716951	272	3794.5719	3547.6332
90716952	272	5597.5526	5136.9662
90716969	274	4048.3288	3828.2712
90716973	280	623.6579	586.4107
90716975	280	725.1709	665.5012
90716976	280	678.0287	650.7459
90716978	280	636.4963	595.0751
90716979	280	678.0287	650.7459
90716990	278	3990.9902	3707.8106
90716994	278	4589.4872	4365.6971
90717150	292	8774.5218	8297.5593
90717158	292	8774.5218	8297.5593
90717167	294	6107.8855	5853.3213
90717362	294	6932.9093	6556.0526
90718024	251	 	7205.2601
90718081	253	1001.2525	924.1045
90718089	253	1097.0053	979.6063
90718113	255	4771.8613	4416.7959
90718115	255	5268.5935	4925.7301
90718147	259	7036.8936	6578.9548
90718178	260	10418.0892	9560.852
90718183	253	1203.4133	1104.8889
90718207	256	3418.4765	3155.0778
90718222	251	8341.4149	7887.9951
90718225	251	8341.4149	7887.9951
90718268	254	3675.224	3374.3305
90718273	260	7549.6029	6987.8509
90718280	253	1526.4496	1452.0177
90718303	256	1828.2904	1739.1403
90718305	256	1505.5581	1382.2969
90718306	256	1256.117	1159.3314
90718311	255	1375.6975	1228.4735
90718394	258	 	4207.4794
90718398	258	8386.1961	7696.1502
90718940	259	8461.2627	7765.04
90718981	253	5623.945	5163.5082
90718989	253	5623.945	5163.5082
90719275	210	13428.0402	12428.8845
90719930	207	1904.7931	1758.026
90719934	207	2067.4304	1846.1787
90719937	207	2935.2728	2792.1446
90719938	207	 	2788.1759
90719939	207	 	1758.026
90719972	210	7461.7004	6976.1165
91316152	472	4878.8987	4561.3953
91374970	470	3118.254	2886.2305
91374975	470	3802.993	3490.0693
91374977	470	3319.996	3139.5288
91500014	145	5514.1907	5002.7852
91500119	145	6317.4469	5848.6947
91500186	143	 	1280.8218
91500226	141	 	2349.3822
91500238	147	 	5836.7089
91500373	150	9192.5184	8054.3471
91500411	145	628.4719	583.8788
91500833	147	5005.6315	4634.2155
91500977	150	7404.0133	7095.4291
91501350	132	10593.935	9830.3531
91504088	163	8248.3553	7642.3288
91504104	166	7827.5754	6980.1896
91504224	161	7239.1956	6717.4141
91504341	169	4539.1997	4118.2183
91504485	163	6925.768	6637.1161
91504629	161	 	11992.4423
91504686	163	8260.2003	7494.1201
91504702	166	704.6907	654.6895
91504729	161	7244.1197	6942.1996
91504929	161	8893.1321	7792.0292
91506146	179	2252.123	2105.5619
91506147	179	2296.8059	2083.792
91506304	176	 	3325.6804
91506305	176	4409.3651	4091.5501
91506330	177	4108.4651	3937.2326
91506392	178	5059.0016	4707.457
91506443	179	 	2283.703
91506487	173	4151.716	3978.681
91506727	171	 	2934.5025
91506790	178	672.8885	610.3503
91506894	178	 	6691.6322
91506902	176	3586.9735	3254.3049
91506935	177	4587.0761	4161.6545
