AID	ELYEAR1	ELYEAR2	ELYEAR3	ELYEAR4	ELYEAR5	ELYEAR6	ELMAT945	ELGLV945	ELY1NINE	EAMSQ1	EAMSQ2	EAMSQ3	EAMSQ4	EAMSQ5	EAMSQ6	EAMSQH	EAMSQB1	EAMSQB2	EAMSQB3	EAMSQB4	EAMSQB5	EAMSQB6	EAMSQBH	EASSQ1	EASSQ2	EASSQ3	EASSQ4	EASSQ5	EASSQ6	EASSQH	EASSQB1	EASSQB2	EASSQB3	EASSQB4	EASSQB5	EASSQB6	EASSQBH	EAMGPA1	EAMGPA2	EAMGPA3	EAMGPA4	EAMGPA5	EAMGPA6	EAMGPAC	EASGPA1	EASGPA2	EASGPA3	EASGPA4	EASGPA5	EASGPA6	EASGPAC	EAOGPA1	EAOGPA2	EAOGPA3	EAOGPA4	EAOGPA5	EAOGPA6	EAOGPAC	EAMFIX1	EAMFIX2	EAMFIX3	EAMFIX4	EAMFIX5	EAMFIX6	EAMFIXC	EASFIX1	EASFIX2	EASFIX3	EASFIX4	EASFIX5	EASFIX6	EASFIXC	EAOFIX1	EAOFIX2	EAOFIX3	EAOFIX4	EAOFIX5	EAOFIX6	EAOFIXC
97574839	1992	1993	1994	1995	9992	9992	3	11	1	4	0	5	6	9992	9992	6	4	0	0	0	9992	9992	4	2	2	3	0	9992	9992	3	2	2	0	0	9992	9992	2	1.333	9994	0	1	9992	9992	.889	2	2	0	9994	9992	9992	1.333	1.786	1.5	.333	1.765	9992	9992	1.4	0	9994	1	.5	9992	9992	.444	0	0	1	9994	9992	9992	.333	0	.167	.667	.118	9992	9992	.218
97575020	1991	1992	1993	1994	9992	9992	4	12	1	3	4	6	7	9992	9992	7	3	4	6	7	9992	9992	7	2	0	4	6	9992	9992	6	2	0	4	6	9992	9992	6	2	4	4	2	9992	9992	2.889	3	9994	3	2	9992	9992	2.75	2.429	3.308	3.125	3	9992	9992	2.966	0	0	0	0	9992	9992	0	0	9994	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575092	1992	1993	1994	1995	9992	9992	3	11	1	4	5	6	8	9992	9992	8	4	5	6	8	9992	9992	8	0	3	4	5	9992	9992	5	0	3	4	5	9992	9992	5	3	3.5	2.5	3	9992	9992	3	9994	3.5	4	3	9992	9992	3.5	3.667	3.643	3.417	2.833	9992	9992	3.4	0	0	0	0	9992	9992	0	9994	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575096	1994	1995	1996	1997	9992	9992	1	9	1	3	4	5	6	9992	9992	6	3	4	5	6	9992	9992	6	0	3	4	2	9992	9992	4	0	3	4	2	9992	9992	4	2.5	2	2.333	1.5	9992	9992	2.111	9994	3	3.5	2	9992	9992	2.833	2.786	3.077	3	2.25	9992	9992	2.788	0	0	0	0	9992	9992	0	9994	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575130	1993	1994	1995	1996	9992	9992	2	10	1	4	6	8	9	9992	9992	9	4	6	8	0	9992	9992	8	3	4	5	6	9992	9992	6	3	4	5	6	9992	9992	6	3	2	2	0	9992	9992	1.8	3	2	1	2	9992	9992	2	3	2	2.778	2.5	9992	9992	2.571	0	0	0	1	9992	9992	.2	0	0	0	0	9992	9992	0	0	0	0	.125	9992	9992	.029
97575153	1992	1993	1994	1995	9992	9992	3	11	1	4	5	0	0	9992	9992	5	4	5	0	0	9992	9992	5	2	3	0	0	9992	9992	3	2	3	0	0	9992	9992	3	1	1	9994	9994	9992	9992	1	.5	1.667	9994	9994	9992	9992	1.2	2	1.571	2.6	2	9992	9992	2	0	0	9994	9994	9992	9992	0	.5	0	9994	9994	9992	9992	.2	.077	.071	0	0	9992	9992	.043
97575154	1992	1993	1994	1995	9992	9992	3	11	1	5	8	8	0	9992	9992	8	5	8	8	0	9992	9992	8	2	3	4	5	9992	9992	5	2	3	4	5	9992	9992	5	2.5	3	4	9994	9992	9992	3.125	2.5	3.5	1.5	4	9992	9992	2.875	3.214	2.929	2.714	3.25	9992	9992	3.019	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575155	1994	1995	1996	1997	9992	9992	1	9	1	4	5	6	6	9992	9992	6	4	5	0	6	9992	9992	6	2	3	5	4	9992	9992	5	2	3	5	4	9992	9992	5	1.5	3	0	2	9992	9992	1.667	2	3	2.2	2	9992	9992	2.3	2.071	2.692	2.231	2.636	9992	9992	2.392	0	0	1	0	9992	9992	.167	0	0	.2	0	9992	9992	.1	.071	0	.154	0	9992	9992	.059
97575194	1992	1993	1994	1995	9992	9992	3	11.1	1	4	5	6	6	9992	9992	6	4	5	6	6	9992	9992	6	0	3	4	2	9992	9992	4	0	3	4	2	9992	9992	4	2	2	1.75	3	9992	9992	2.1	9994	3.5	3.5	2.5	9992	9992	3.167	2.25	2.417	1.769	2.167	9992	9992	2.143	0	0	.25	0	9992	9992	.1	9994	0	0	0	9992	9992	0	0	0	.154	0	9992	9992	.041
97575199	1994	1995	1996	1997	9992	9992	1	9.1	1	5	6	9	9	9992	9992	9	5	6	9	9	9992	9992	9	0	3	4	2	9992	9992	4	0	3	4	2	9992	9992	4	4	4	3	2.5	9992	9992	3.375	9994	4	4	4	9992	9992	4	3.867	4	3.417	3.25	9992	9992	3.66	0	0	0	0	9992	9992	0	9994	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
