AID	RRELNO	H3TR1	H3TR2	H3TR3	H3TR4	H3TR5	PAGE	H3TR6	H3TR7	H3TR8	H3TR9	H3TR10	H3TR11	H3TR12	H3TR13	H3TR14	SXORDER	CP
57277289	3	0	1	2	3	97	19	4	0	1	0	97	0	0	0	1	4	 
57277289	4	1	1	2	1	3	22	3	0	1	1	1	0	0	0	0	1	1
57277290	1	1	1	1	1	3	24	4	0	1	0	97	0	0	0	1	1	 
57279640	1	0	0	2	3	97	19	5	1	1	0	97	0	0	0	0	17	 
57279640	2	0	0	2	2	2	17	5	1	1	0	97	0	0	0	1	16	 
57279640	3	0	0	2	1	1	20	4	0	1	0	97	0	0	0	1	15	 
57279640	4	0	0	2	3	97	19	3	0	1	0	97	0	0	0	1	13	 
57279640	5	0	0	2	2	1	18	5	1	1	0	97	0	0	0	1	14	 
57279640	6	0	0	2	3	97	19	5	1	1	0	97	0	0	0	1	12	 
57279640	7	0	0	2	1	1	20	4	0	1	0	97	0	0	0	0	11	 
57279640	8	0	0	2	2	1	18	5	1	1	0	97	0	0	0	1	10	 
57279640	9	0	1	2	3	97	19	3	1	1	0	97	0	0	0	1	2	 
57279640	10	0	0	2	1	1	20	5	1	1	0	97	0	0	0	0	9	 
57279640	11	0	0	2	1	4	23	4	0	1	0	97	0	0	0	0	8	 
57279640	12	0	0	2	1	12	31	4	0	1	0	97	0	0	0	0	7	 
57279640	13	0	0	2	1	1	20	4	0	1	0	97	0	0	0	0	6	 
