AID	PTWGT3	PTWGT3_2
90576245	2457.842680242	2434.809382111
90576248	3263.362902743	3064.645824427
90576285	6285.717592121	5937.146467704
90576320	3207.06160142	3257.376831571
90576336	4768.147320584	4356.988348371
90576412	5301.209316181	5274.217596541
90576445	2516.508488476	2590.524800128
90576481	4686.20913945	4477.718522128
90576485	 	12902.1490234
90576522	 	3257.376831571
90576531	 	5229.969727991
90576561	5141.20623187	5197.037889528
90576687	4649.06176673	4805.388912997
90576754	 	1131.145850071
90576758	6830.022062033	5628.802486649
90576759	8194.667818548	6849.889345779
90576811	5301.209316181	5274.217596541
90576837	4547.727390827	4246.442878275
90576844	3263.362902743	3064.645824427
90576919	5444.085202053	5025.018613751
90576925	3141.515956581	2839.40803429
90576928	5342.265473079	4818.362769858
90576942	2232.749882872	2257.216640457
90576948	2215.850808218	2256.169258502
90576987	 	6582.812569819
90577063	6304.321763077	7809.330306609
90577065	9387.089820962	8458.575144017
90577119	 	13007.682716155
90577161	6127.640446775	7552.168239379
90577167	8279.994150707	9383.676384628
90577227	1139.98685638	1370.365412979
90577256	6286.890678015	5625.304897869
90577259	 	5159.585966176
90577267	6975.547811932	7002.887936735
90577322	2308.417610569	2913.415528559
90577326	 	2182.380748932
90577411	 	8056.963473713
90577516	 	7486.520945783
90577618	6108.823647838	5728.828112982
90577712	 	6795.049481872
90577782	8338.520739741	9189.035034454
90577817	6447.948960423	6881.926356124
90577852	5574.111658695	5029.60205451
90577920	 	4093.326118277
90577928	4139.831992469	5505.50255682
90577964	6127.640446775	7552.168239379
90578004	2396.932690223	2067.463008369
90578025	9294.613439344	9855.560779032
90578044	5661.534169766	5083.548421366
90578076	20376.217890791	17940.589819404
90578105	 	6089.012504226
90578112	2295.877695265	2039.653079699
90578198	5586.753794761	5080.76086761
90578203	8040.925351973	7143.541947979
90578217	6495.585179698	4689.224716785
90578288	 	5281.1693258
90578302	7815.57497665	6908.304361328
90578304	2205.309724942	1974.443686096
90578380	 	5460.581757316
90578461	5148.994061693	5459.745350564
90578487	1872.547900518	1620.885942723
90578496	 	4771.263514486
90578500	7704.10157265	6788.459999768
90578505	2268.896521269	2041.676301135
90578576	16666.018101871	15339.251648129
90578587	1167.061450855	1068.851782037
90578618	5965.663432928	4168.299144074
90578620	9031.639924259	9425.658801022
90578787	6712.734754126	5810.573455713
90578805	9620.490281686	7671.356184647
90578806	2271.815604545	1890.045304735
90578813	 	4499.794094201
90578846	6623.232457516	6072.174141489
90578873	19451.351428281	17634.052007603
90578880	4838.560837855	4292.045943274
90578923	795.964083216	778.452411595
90578927	9031.639924259	9425.658801022
90578985	 	1952.69558925
90578986	 	981.937516281
90578999	5586.753794761	5080.76086761
90579230	9481.890907341	9001.042680233
90579233	7339.361319563	6735.108037705
90579270	9443.323877877	9457.97464906
90579271	13399.229228389	13076.693492656
90579272	15426.792459779	14239.704238395
90579296	5751.782907133	5467.525464107
90579944	 	3844.675100026
90579960	3468.536941086	3766.560087424
90579966	3471.234787305	3492.328388886
90579985	11991.867499921	10684.327034827
90579990	4418.912790246	4025.513139676
90579992	 	6008.959845701
90606629	9809.337336812	9412.822064082
90606920	6996.694100975	6367.585885733
90608976	5463.491770062	5353.10090525
90614172	7994.918216486	6948.620317566
90614371	7994.918216486	6948.620317566
90614876	 	4668.331168992
90614978	 	4475.494750087
90619168	7664.413808882	7114.07070065
90619260	6425.339220374	6369.19182277
90619265	 	11441.983681804
90619464	11019.496632731	11802.473620979
90619861	7664.413808882	7114.07070065
90619961	8293.27611257	7859.714081867
90636252	3497.294023104	3203.111685357
90646128	 	1727.535155461
90676053	3652.471384361	3322.101343467
90676321	 	5607.40790366
90676422	 	8062.375526555
90676458	4391.158606484	4002.4787061
90676725	6468.671956027	6721.754992684
90676829	1098.784196507	1091.757994289
90678178	6268.728904829	6010.171350575
90678671	1669.798856168	1633.351882635
90710085	4865.996559859	4300.041416841
90710194	9502.293207122	9061.527543316
90710297	9487.587318985	8906.605765551
90710386	10223.676922477	10158.484869982
90710930	4228.090469621	3603.294187517
90711360	10550.187095915	9833.945130901
90712140	5719.741561305	5290.375177744
90712211	4914.508078423	4111.768087429
90712216	8226.541001371	6973.200743754
90712914	5493.422693923	4538.617131873
