AID	AH_RAW	PVTPCT3	PVTSTD3C	PVTSTD3L	PVTPCT1C	PVTPCT1L	PVTSTD1
99575381	75	63	106	107	28	27	92
99575400	70	39	99	101	46	45	96
99575405	60	17	86	88	64	63	106
99575473	85	96	119	120	100	100	125
99575529	996	996	996	996	6	 	79
99575579	74	56	104	106	40	39	96
99575621	53	6	77	79	6	5	77
99575626	77	71	108	110	64	63	106
99575672	76	68	107	109	70	68	107
99575805	79	79	111	113	96	96	119
99575871	82	88	115	116	78	78	112
99575879	79	79	111	113	75	74	111
99575903	74	56	104	106	84	83	115
99575909	77	71	108	110	47	46	99
99575930	59	15	85	87	23	21	90
99575940	74	56	104	106	35	34	93
99575941	76	68	107	109	70	69	109
99575946	81	85	114	115	80	79	113
99575947	76	68	107	109	75	73	109
99575949	84	94	118	119	84	84	115
99576001	64	28	91	93	35	34	94
99576007	72	45	102	104	20	18	90
99576009	67	35	95	97	48	47	100
99576011	81	85	114	115	91	91	120
99576055	58	13	83	86	25	24	91
99576112	64	28	91	93	81	80	113
99576146	75	63	106	107	84	83	115
99576168	80	82	112	114	90	89	118
99576206	86	98	120	121	91	90	120
99576343	58	13	83	86	5	5	76
99576347	83	91	116	118	83	82	115
99576364	80	82	112	114	57	56	103
99576456	85	96	119	120	94	94	120
99576466	73	50	103	105	55	54	102
99576542	58	13	83	86	5	5	74
99576544	83	91	116	118	45	44	96
99576580	64	28	91	93	99	99	121
99576589	87	100	122	123	99	99	120
99576705	82	88	115	116	87	86	117
99576818	75	63	106	107	12	11	82
99576843	70	39	99	101	6	6	80
99576912	81	85	114	115	87	86	116
99576925	77	71	108	110	6	6	79
99576938	77	71	108	110	29	28	93
99576944	52	5	75	78	6	5	80
99576947	75	63	106	107	42	41	97
99576983	78	75	110	111	79	78	112
99577050	996	996	996	996	76	 	110
99577121	72	45	102	104	72	71	109
99577123	81	85	114	115	75	74	110
99577127	76	68	107	109	82	81	114
99577228	80	82	112	114	71	70	108
99577250	58	13	83	86	13	12	83
99577265	73	50	103	105	28	27	91
99577285	57	11	82	84	9	8	80
99577322	83	91	116	118	98	97	128
99577358	58	13	83	86	49	47	100
99577480	72	45	102	104	6	6	80
99577517	71	41	100	102	56	55	103
99577550	56	10	81	83	 	 	 
99577655	996	996	996	996	85	 	116
99577658	996	996	996	996	27	 	90
99577686	73	50	103	105	82	81	114
99577882	56	10	81	83	9	8	79
99577920	63	25	90	92	79	78	113
99577923	84	94	118	119	100	100	121
99577928	82	88	115	116	47	46	99
99577988	47	2	69	72	97	96	126
99578019	58	13	83	86	12	12	83
99578029	63	25	90	92	35	34	93
99578031	996	996	996	996	100	 	125
99578109	996	996	996	996	33	 	92
99578113	996	996	996	996	50	 	100
99578127	76	68	107	109	37	36	96
99578203	58	13	83	86	16	15	87
99578226	83	91	116	118	89	88	117
99578289	57	11	82	84	13	12	84
99578303	58	13	83	86	73	72	109
99578312	61	20	87	90	28	27	90
99578348	72	45	102	104	23	22	91
99578365	81	85	114	115	0	0	58
99578414	76	68	107	109	50	49	100
99578516	80	82	112	114	48	47	100
99578522	75	63	106	107	18	17	87
99578529	51	4	74	77	69	67	107
99578580	70	39	99	101	27	26	91
99578591	65	30	93	95	8	7	79
99578611	76	68	107	109	66	65	105
99578626	11	1	21	24	36	34	95
99578642	79	79	111	113	 	 	 
99578693	61	20	87	90	31	29	93
99578729	72	45	102	104	32	31	92
99578742	73	50	103	105	29	28	93
99578784	54	7	78	81	5	4	73
99578933	64	28	91	93	41	39	96
99578941	53	6	77	79	11	10	81
99578944	75	63	106	107	30	29	93
99579176	81	85	114	115	 	 	 
