AID	EREXITST	ERGRADM	ERGRADY
92572314	A	5	1997
92572317	C	92	9992
92572321	A	92	9992
92572323	F	92	9992
92572324	92	92	9992
92572345	A	5	1996
92572348	A	5	1995
92572382	A	6	1996
92572383	F	92	9992
92572390	A	5	1997
92572397	92	92	9992
92572408	A	5	1996
92572444	A	5	1997
92572468	A	6	1997
92572648	G	92	9992
92572665	A	6	1999
92572669	F	92	9992
92572802	A	5	1997
92572803	A	6	1998
92572842	A	5	1996
92572864	A	6	2000
92572906	A	5	1996
92572916	A	5	1998
92572918	A	5	1996
92572919	A	5	1999
92572924	A	6	1996
92572963	A	6	1996
92572983	A	5	2000
92572986	A	5	1998
92572989	A	6	1995
92573010	A	6	1999
92573096	A	6	1997
92573118	G	6	1995
92573136	A	6	1997
92573232	A	7	1994
92573311	A	6	1995
92573316	A	6	1998
92573531	A	1	1996
92573691	A	5	1995
92573697	A	6	1997
92573818	A	6	1997
92573831	A	6	1997
92573916	A	6	1997
92573917	A	6	1999
92573942	A	92	9992
92573943	A	6	2000
92573945	A	6	2000
92573946	A	92	9992
92573958	A	5	1997
92573959	A	5	1995
92574010	A	6	1995
92574018	A	92	9992
92574200	A	6	1998
92574314	A	6	1996
92574614	A	6	1998
92574701	A	6	1997
92574703	A	6	1998
92574739	G	92	9992
92574794	F	92	9992
92574808	A	6	1996
92574810	A	92	9992
92575023	A	5	1996
92575033	J	92	9992
92575095	A	6	1996
92575121	A	5	1996
92575180	A	5	1998
92575201	A	92	9992
92575213	A	6	1995
92575217	A	6	1995
92575222	A	5	1996
92575231	F	92	9992
92575237	A	92	9992
92575240	A	5	1998
92575244	A	5	1998
92575246	A	5	1995
92575248	A	5	1999
92575249	A	5	2000
92575263	A	6	1995
92575297	A	6	1995
92575324	G	92	9992
92575351	A	92	9992
92575373	A	6	1998
92575381	A	92	9992
92575400	A	6	1998
92575407	A	92	9992
92575421	A	5	1998
92575434	92	5	1995
92575526	A	5	1998
92575771	A	6	1995
92575807	A	6	1999
92575868	A	6	1998
92575900	A	6	1997
92575935	92	92	9992
92575941	B	5	1997
92575944	G	92	9992
92575951	A	6	1995
92575959	A	5	1997
92575971	A	6	1997
92575974	A	6	1995
92575990	A	6	1996
92575995	A	6	1998
92575999	A	6	1998
92576033	A	6	1998
92576037	A	92	9992
92576182	A	6	1995
92576248	A	6	2000
92576312	F	92	9992
92576328	A	6	1995
92576472	A	5	1995
92576493	A	92	9992
92576499	G	92	9992
92576504	A	6	1997
92576516	A	5	1997
92576531	A	6	1997
92576533	A	6	1998
92576555	A	6	1997
92576556	A	6	1997
92576606	A	6	1995
92576611	A	5	1996
92576693	A	6	1996
92576694	A	6	1996
92576937	A	6	1995
92576950	A	6	1997
92576984	A	6	1997
92577013	A	5	1995
92577065	F	92	9992
92577112	A	92	9992
92577127	A	6	1998
92577129	A	6	1996
92577161	F	92	9992
92577217	A	92	9992
92577326	A	6	1995
92577368	B	5	1997
92577514	A	92	9992
92577581	A	6	1997
92577787	A	7	1997
92577864	A	92	9992
92577917	A	5	1997
92577918	A	92	9992
92577920	A	92	9992
92577927	A	92	9992
92577929	A	6	1998
92577982	A	92	9992
92578034	G	92	9992
92578067	A	5	1998
92578161	A	5	1997
92578283	B	5	1998
92578310	G	92	9992
92578411	G	92	9992
92578428	A	6	1997
92578517	A	8	1995
92578562	A	5	1998
92578580	F	92	9992
92578615	A	6	1996
